      NO              DATA              UNIT           TIME  
    408               22.3                 C           05-17-12/14:05:24  
    409               22.3                 C           05-17-12/14:05:25  
    410               22.0                 C           05-17-12/14:05:25  
    411               22.0                 C           05-17-12/14:05:26  
    412               22.3                 C           05-17-12/14:05:26  
    413               22.3                 C           05-17-12/14:05:27  
    414               22.3                 C           05-17-12/14:05:27  
    415               22.3                 C           05-17-12/14:05:27  
    416               22.0                 C           05-17-12/14:05:28  
    417               22.0                 C           05-17-12/14:05:28  
    418               22.3                 C           05-17-12/14:05:29  
    419               22.3                 C           05-17-12/14:05:29  
    420               22.3                 C           05-17-12/14:05:30  
    421               22.0                 C           05-17-12/14:05:30  
    422               22.0                 C           05-17-12/14:05:31  
    423               22.3                 C           05-17-12/14:05:31  
    424               23.2                 C           05-17-12/14:05:32  
    425               23.5                 C           05-17-12/14:05:32  
    426               23.0                 C           05-17-12/14:05:33  
    427               26.8                 C           05-17-12/14:05:33  
    428               26.8                 C           05-17-12/14:05:34  
    429               27.6                 C           05-17-12/14:05:34  
    430               28.7                 C           05-17-12/14:05:35  
    431               28.7                 C           05-17-12/14:05:35  
    432               30.5                 C           05-17-12/14:05:35  
    433               30.5                 C           05-17-12/14:05:36  
    434               30.5                 C           05-17-12/14:05:36  
    435               29.0                 C           05-17-12/14:05:37  
    436               29.0                 C           05-17-12/14:05:37  
    437               31.8                 C           05-17-12/14:05:38  
    438               31.6                 C           05-17-12/14:05:38  
    439               31.6                 C           05-17-12/14:05:39  
    440               33.5                 C           05-17-12/14:05:39  
    441               33.5                 C           05-17-12/14:05:40  
    442               33.8                 C           05-17-12/14:05:40  
    443               33.8                 C           05-17-12/14:05:41  
    444               33.8                 C           05-17-12/14:05:41  
    445               33.8                 C           05-17-12/14:05:42  
    446               33.5                 C           05-17-12/14:05:42  
    447               33.5                 C           05-17-12/14:05:43  
    448               33.2                 C           05-17-12/14:05:43  
    449               33.2                 C           05-17-12/14:05:43  
    450               33.5                 C           05-17-12/14:05:44  
    451               33.5                 C           05-17-12/14:05:44  
    452               33.5                 C           05-17-12/14:05:45  
    453               33.5                 C           05-17-12/14:05:45  
    454               33.5                 C           05-17-12/14:05:46  
    455               34.0                 C           05-17-12/14:05:46  
    456               34.0                 C           05-17-12/14:05:47  
    457               33.6                 C           05-17-12/14:05:47  
    458               34.0                 C           05-17-12/14:05:48  
    459               34.0                 C           05-17-12/14:05:48  
    460               33.7                 C           05-17-12/14:05:49  
    461               33.7                 C           05-17-12/14:05:49  
    462               33.7                 C           05-17-12/14:05:50  
    463               33.2                 C           05-17-12/14:05:50  
    464               33.2                 C           05-17-12/14:05:51  
    465               32.7                 C           05-17-12/14:05:51  
    466               32.7                 C           05-17-12/14:05:51  
    467               32.7                 C           05-17-12/14:05:52  
    468               33.0                 C           05-17-12/14:05:52  
    469               33.0                 C           05-17-12/14:05:53  
    470               25.0                 C           05-17-12/14:05:53  
    471               24.0                 C           05-17-12/14:05:54  
    472               24.0                 C           05-17-12/14:05:54  
    473               24.1                 C           05-17-12/14:05:55  
    474               23.7                 C           05-17-12/14:05:55  
    475               23.7                 C           05-17-12/14:05:56  
    476               23.7                 C           05-17-12/14:05:56  
    477               26.1                 C           05-17-12/14:05:57  
    478               25.8                 C           05-17-12/14:05:57  
    479               25.8                 C           05-17-12/14:05:58  
    480               29.3                 C           05-17-12/14:05:58  
    481               29.0                 C           05-17-12/14:05:59  
    482               31.3                 C           05-17-12/14:05:59  
    483               31.6                 C           05-17-12/14:05:59  
    484               31.8                 C           05-17-12/14:06:00  
    485               32.0                 C           05-17-12/14:06:00  
    486               32.0                 C           05-17-12/14:06:01  
    487               32.0                 C           05-17-12/14:06:01  
    488               32.0                 C           05-17-12/14:06:02  
    489               32.0                 C           05-17-12/14:06:02  
    490               32.0                 C           05-17-12/14:06:03  
    491               32.0                 C           05-17-12/14:06:03  
